alpha,run,heuristic
0.8,0,99
0.8,1,213
0.8,2,124
0.8,3,7
0.8,4,215
0.8,5,12
0.8,6,20
0.8,7,198
0.8,8,217
0.8,9,213
0.8,10,211
0.8,11,120
0.8,12,103
0.8,13,2
0.8,14,19
0.8,15,203
0.8,16,114
0.8,17,210
0.8,18,213
0.8,19,93
0.81,0,124
0.81,1,11
0.81,2,216
0.81,3,114
0.81,4,115
0.81,5,17
0.81,6,106
0.81,7,200
0.81,8,206
0.81,9,103
0.81,10,201
0.81,11,114
0.81,12,204
0.81,13,37
0.81,14,213
0.81,15,223
0.81,16,87
0.81,17,0
0.81,18,12
0.81,19,215
0.82,0,27
0.82,1,99
0.82,2,234
0.82,3,15
0.82,4,201
0.82,5,4
0.82,6,10
0.82,7,207
0.82,8,117
0.82,9,119
0.82,10,210
0.82,11,213
0.82,12,0
0.82,13,108
0.82,14,128
0.82,15,200
0.82,16,217
0.82,17,219
0.82,18,101
0.82,19,117
0.83,0,109
0.83,1,113
0.83,2,197
0.83,3,112
0.83,4,220
0.83,5,211
0.83,6,100
0.83,7,192
0.83,8,211
0.83,9,215
0.83,10,115
0.83,11,120
0.83,12,15
0.83,13,209
0.83,14,0
0.83,15,117
0.83,16,0
0.83,17,208
0.83,18,220
0.83,19,222
0.84,0,213
0.84,1,97
0.84,2,229
0.84,3,215
0.84,4,218
0.84,5,134
0.84,6,12
0.84,7,203
0.84,8,231
0.84,9,220
0.84,10,231
0.84,11,111
0.84,12,208
0.84,13,226
0.84,14,115
0.84,15,94
0.84,16,121
0.84,17,229
0.84,18,133
0.84,19,203
0.85,0,220
0.85,1,116
0.85,2,100
0.85,3,114
0.85,4,213
0.85,5,0
0.85,6,216
0.85,7,106
0.85,8,106
0.85,9,202
0.85,10,211
0.85,11,128
0.85,12,119
0.85,13,0
0.85,14,120
0.85,15,208
0.85,16,209
0.85,17,218
0.85,18,227
0.85,19,219
0.86,0,207
0.86,1,223
0.86,2,108
0.86,3,203
0.86,4,202
0.86,5,224
0.86,6,203
0.86,7,105
0.86,8,216
0.86,9,224
0.86,10,228
0.86,11,208
0.86,12,236
0.86,13,217
0.86,14,12
0.86,15,20
0.86,16,7
0.86,17,218
0.86,18,227
0.86,19,213
0.87,0,202
0.87,1,200
0.87,2,111
0.87,3,222
0.87,4,221
0.87,5,131
0.87,6,209
0.87,7,212
0.87,8,215
0.87,9,0
0.87,10,230
0.87,11,122
0.87,12,220
0.87,13,232
0.87,14,209
0.87,15,230
0.87,16,140
0.87,17,207
0.87,18,124
0.87,19,251
0.88,0,144
0.88,1,227
0.88,2,124
0.88,3,233
0.88,4,134
0.88,5,234
0.88,6,226
0.88,7,202
0.88,8,118
0.88,9,201
0.88,10,213
0.88,11,216
0.88,12,228
0.88,13,128
0.88,14,221
0.88,15,204
0.88,16,227
0.88,17,232
0.88,18,217
0.88,19,219
0.89,0,227
0.89,1,234
0.89,2,229
0.89,3,220
0.89,4,207
0.89,5,230
0.89,6,234
0.89,7,130
0.89,8,228
0.89,9,222
0.89,10,126
0.89,11,237
0.89,12,24
0.89,13,115
0.89,14,205
0.89,15,233
0.89,16,230
0.89,17,246
0.89,18,132
0.89,19,132
0.9,0,121
0.9,1,196
0.9,2,240
0.9,3,217
0.9,4,125
0.9,5,223
0.9,6,225
0.9,7,229
0.9,8,130
0.9,9,222
0.9,10,235
0.9,11,206
0.9,12,241
0.9,13,227
0.9,14,227
0.9,15,230
0.9,16,198
0.9,17,228
0.9,18,230
0.9,19,224
0.91,0,234
0.91,1,216
0.91,2,232
0.91,3,231
0.91,4,228
0.91,5,221
0.91,6,133
0.91,7,235
0.91,8,236
0.91,9,229
0.91,10,138
0.91,11,229
0.91,12,233
0.91,13,35
0.91,14,226
0.91,15,233
0.91,16,233
0.91,17,231
0.91,18,236
0.91,19,233
0.92,0,236
0.92,1,131
0.92,2,242
0.92,3,232
0.92,4,227
0.92,5,254
0.92,6,130
0.92,7,225
0.92,8,243
0.92,9,228
0.92,10,225
0.92,11,220
0.92,12,231
0.92,13,148
0.92,14,218
0.92,15,221
0.92,16,237
0.92,17,223
0.92,18,232
0.92,19,213
0.93,0,241
0.93,1,246
0.93,2,218
0.93,3,233
0.93,4,243
0.93,5,227
0.93,6,247
0.93,7,242
0.93,8,219
0.93,9,242
0.93,10,156
0.93,11,230
0.93,12,244
0.93,13,239
0.93,14,229
0.93,15,239
0.93,16,242
0.93,17,237
0.93,18,253
0.93,19,236
0.94,0,231
0.94,1,256
0.94,2,152
0.94,3,240
0.94,4,248
0.94,5,223
0.94,6,240
0.94,7,227
0.94,8,240
0.94,9,241
0.94,10,231
0.94,11,243
0.94,12,234
0.94,13,229
0.94,14,220
0.94,15,230
0.94,16,244
0.94,17,224
0.94,18,225
0.94,19,243
0.95,0,256
0.95,1,248
0.95,2,242
0.95,3,249
0.95,4,250
0.95,5,246
