alpha,run,heuristic
0.8,0,199
0.8,1,127
0.8,2,226
0.8,3,110
0.8,4,110
0.8,5,219
0.8,6,126
0.8,7,209
0.8,8,209
0.8,9,206
0.81,0,207
0.81,1,208
0.81,2,226
0.81,3,112
0.81,4,210
0.81,5,217
0.81,6,228
0.81,7,131
0.81,8,28
0.81,9,0
0.82,0,23
0.82,1,0
0.82,2,216
0.82,3,229
0.82,4,227
0.82,5,209
0.82,6,215
0.82,7,17
0.82,8,43
0.82,9,92
0.83,0,117
0.83,1,222
0.83,2,125
0.83,3,131
0.83,4,9
0.83,5,120
0.83,6,215
0.83,7,199
0.83,8,128
0.83,9,128
0.84,0,112
0.84,1,121
0.84,2,123
0.84,3,132
0.84,4,207
0.84,5,123
0.84,6,112
0.84,7,122
0.84,8,115
0.84,9,108
0.85,0,213
0.85,1,223
0.85,2,237
0.85,3,104
0.85,4,230
0.85,5,123
0.85,6,134
0.85,7,211
0.85,8,218
0.85,9,202
0.86,0,218
0.86,1,132
0.86,2,204
0.86,3,132
0.86,4,218
0.86,5,120
0.86,6,121
0.86,7,134
0.86,8,217
0.86,9,130
0.87,0,238
0.87,1,131
0.87,2,122
0.87,3,35
0.87,4,220
0.87,5,134
0.87,6,116
0.87,7,223
0.87,8,232
0.87,9,219
0.88,0,220
0.88,1,222
0.88,2,213
0.88,3,216
0.88,4,242
0.88,5,246
0.88,6,238
0.88,7,222
0.88,8,234
0.88,9,221
0.89,0,116
0.89,1,220
0.89,2,206
0.89,3,235
0.89,4,219
0.89,5,223
0.89,6,210
0.89,7,227
0.89,8,119
0.89,9,128
0.9,0,147
0.9,1,219
0.9,2,235
0.9,3,219
0.9,4,232
0.9,5,211
0.9,6,200
0.9,7,26
0.9,8,227
0.9,9,119
0.91,0,242
0.91,1,231
0.91,2,230
0.91,3,234
0.91,4,225
0.91,5,229
0.91,6,228
0.91,7,238
0.91,8,248
0.91,9,226
0.92,0,240
0.92,1,243
0.92,2,228
0.92,3,212
0.92,4,154
0.92,5,238
0.92,6,237
0.92,7,239
0.92,8,160
0.92,9,238
0.93,0,234
0.93,1,238
0.93,2,249
0.93,3,238
0.93,4,231
0.93,5,255
0.93,6,229
0.93,7,242
0.93,8,237
0.93,9,253
0.94,0,249
0.94,1,233
0.94,2,251
0.94,3,244
0.94,4,252
0.94,5,240
0.94,6,261
0.94,7,245
0.94,8,252
0.94,9,257
0.95,0,243
0.95,1,237
0.95,2,254
0.95,3,258
0.95,4,251
0.95,5,250
0.95,6,264
0.95,7,250
0.95,8,256
0.95,9,263
0.96,0,241
0.96,1,251
0.96,2,273
0.96,3,253
0.96,4,269
0.96,5,264
0.96,6,260
0.96,7,257
0.96,8,279
0.96,9,267
0.97,0,275
0.97,1,279
0.97,2,268
0.97,3,271
0.97,4,273
0.97,5,266
0.97,6,275
0.97,7,270
0.97,8,284
0.97,9,269
0.98,0,282
0.98,1,285
0.98,2,288
0.98,3,279
0.98,4,288
0.98,5,282
0.98,6,288
0.98,7,282
0.98,8,289
0.98,9,281
0.99,0,300
0.99,1,297
0.99,2,299
0.99,3,297
0.99,4,299
0.99,5,296
0.99,6,293
0.99,7,301
0.99,8,302
0.99,9,296
